R,algorithm,date,iteration,seed,size
10000,RLSSDstar,20210111152146_603,5684172,16103748777342010,100
2500,RLSSDstar,20210111152300_199,228651,16103749789237270,50
2500,RLSSDstar,20210111152300_708,328233,16103749789236440,50
2500,RLSSDstar,20210111152303_314,409230,16103749810338280,50
2500,RLSSDstar,20210111152304_078,203282,16103749828677580,50
2500,RLSSDstar,20210111152304_81,770192,16103749803884390,50
2500,RLSSDstar,20210111152309_683,492622,16103749867870290,50
2500,RLSSDstar,20210111152310_74,520035,16103749876717020,50
2500,RLSSDstar,20210111152311_077,237278,16103749896835990,50
2500,RLSSDstar,20210111152312_164,269965,16103749907406320,50
2500,RLSSDstar,20210111152314_103,454820,16103749920300650,50
3600,RLSSDstar,20210112130827_477,341476,16104533048573520,60
3600,RLSSDstar,20210112130828_566,499894,16104533048573520,60
1600,RLSSDstar,20210112130828_791,117611,16104533081494600,40
1600,RLSSDstar,20210112130829_293,100710,16104533087922780,40
3600,RLSSDstar,20210112130832_793,1214919,16104533048609360,60
1600,RLSSDstar,20210112130833_692,123856,16104533127949892,40
3600,RLSSDstar,20210112130833_758,678596,16104533095542720,60
3600,RLSSDstar,20210112130835_537,624042,16104533111411910,60
1600,RLSSDstar,20210112130835_932,87486,16104533153655180,40
1600,RLSSDstar,20210112130836_109,154487,16104533151813560,40
3600,RLSSDstar,20210112130838_029,420589,16104533155383720,60
1600,RLSSDstar,20210112130838_138,211589,16104533168778660,40
1600,RLSSDstar,20210112130840_263,145168,16104533194641098,40
1600,RLSSDstar,20210112130842_077,205768,16104533208951070,40
3600,RLSSDstar,20210112130846_638,970916,16104533210659320,60
3600,RLSSDstar,20210112130848_077,1063664,16104533220784020,60
1600,RLSSDstar,20210112130854_45,312923,16104533328430140,40
3600,RLSSDstar,20210112130857_597,634836,16104533344510390,60
1600,RLSSDstar,20210112130858_215,134923,16104533375979782,40
3600,RLSSDstar,20210112130903_14,1111885,16104533382159400,60
15752961,RLSSDstar,20210112132552_199,42899,16104543456800800,24
15752961,RLSSDstar,20210112132556_167,31371,16104543516442400,24
15752961,RLSSDstar,20210112132559_667,52928,16104543522006700,24
15752961,RLSSDstar,20210112132600_927,34423,16104543561683750,24
15752961,RLSSDstar,20210112132602_335,33419,16104543577064828,24
15752961,RLSSDstar,20210112132602_636,35936,16104543577875760,24
15752961,RLSSDstar,20210112132612_241,33242,16104543677363410,24
15752961,RLSSDstar,20210112132614_87,44329,16104543685468668,24
15752961,RLSSDstar,20210112132620_96,39895,16104543754362450,24
15752961,RLSSDstar,20210112132621_918,33344,16104543772757160,24
15752961,RLSSDstar,20210112132622_105,51440,16104543748706688,24
15752961,RLSSDstar,20210112132628_581,44581,16104543819190580,24
15752961,RLSSDstar,20210112132633_195,30408,16104543890518610,24
15752961,RLSSDstar,20210112132633_943,45389,16104543875278708,24
15752961,RLSSDstar,20210112132635_657,48397,16104543885818610,24
15752961,RLSSDstar,20210112132638_452,30541,16104543939440650,24
15752961,RLSSDstar,20210112132638_756,37653,16104543931965290,24
15752961,RLSSDstar,20210112132640_415,39760,16104543956584270,24
15752961,RLSSDstar,20210112132641_475,34840,16104543987573770,24
15752961,RLSSDstar,20210112132642_087,51088,16104543984532080,24
13845841,RLSSDstar,20210112133536_766,35958,16104549310677340,24
13845841,RLSSDstar,20210112133541_713,31761,16104549367673320,24
276922881,RLSSDstar,20210112133545_571,153310,16104548971472260,36
13845841,RLSSDstar,20210112133553_4,36340,16104549455722662,24
276922881,RLSSDstar,20210112133722_002,185587,16104550181201740,36
13845841,RLSSDstar,20210112133723_566,24627,16104550420032270,24
276922881,RLSSDstar,20210112133727_972,204925,16104550221205480,36
13845841,RLSSDstar,20210112133729_941,25063,16104550483959980,24
276922881,RLSSDstar,20210112133748_979,178769,16104550483346282,36
276922881,RLSSDstar,20210112133807_212,205634,16104550717174940,36
12960000,RLSSDstar,20210112134358_42,26127,16104554343854260,24
12960000,RLSSDstar,20210112134557_377,32928,16104555527775100,24
12960000,RLSSDstar,20210112134622_764,33463,16104555770604690,24
157351936,RLSSDstar,20210112134623_936,127165,16104555486454188,36
157351936,RLSSDstar,20210112134650_787,102877,16104555839368470,36
12960000,RLSSDstar,20210112134654_892,28316,16104556107885000,24
12960000,RLSSDstar,20210112134706_077,34539,16104556208239390,24
157351936,RLSSDstar,20210112134759_308,133733,16104556316956748,36
741200625,RLSSDstar,20210112134839_124,289756,16104555827662370,46
741200625,RLSSDstar,20210112134903_411,243382,16104556194389610,46
12960000,RLSSDstar,20210112134944_28,40275,16104557784492910,24
157351936,RLSSDstar,20210112135032_982,123427,16104557932630890,36
741200625,RLSSDstar,20210112135035_268,262956,16104557191285510,46
157351936,RLSSDstar,20210112135215_297,112821,16104559037369320,36
741200625,RLSSDstar,20210112135218_313,333063,16104558055835040,46
12960000,RLSSDstar,20210112135241_864,31434,16104559565773190,24
741200625,RLSSDstar,20210112135335_164,326965,16104558890355092,46
157351936,RLSSDstar,20210112135420_535,145901,16104560232209600,36
741200625,RLSSDstar,20210112135427_034,289652,16104559605588160,46
12960000,RLSSDstar,20210112135454_082,22893,16104560919254330,24
157351936,RLSSDstar,20210112135521_16,137922,16104560964314088,36
157351936,RLSSDstar,20210112135557_376,128789,16104561357443572,36
741200625,RLSSDstar,20210112135739_239,327590,16104561671081710,46
12960000,RLSSDstar,20210112135749_892,26813,16104562655834410,24
181063936,RLSSDstar,20210112135839_797,137688,16104562767080970,36
20151121,RLSSDstar,20210112135941_629,48695,16104563737595980,24
181063936,RLSSDstar,20210112135942_606,121864,16104563487456910,36
20151121,RLSSDstar,20210112135957_479,42913,16104563906821960,24
157351936,RLSSDstar,20210112140009_979,141533,16104563744618160,36
181063936,RLSSDstar,20210112140035_211,145624,16104563974803690,36
181063936,RLSSDstar,20210112140036_179,204853,16104563816307250,36
181063936,RLSSDstar,20210112140149_589,137937,16104564722404290,36
181063936,RLSSDstar,20210112140152_911,124103,16104564787140670,36
741200625,RLSSDstar,20210112140158_923,248260,16104564265736800,46
741200625,RLSSDstar,20210112140206_947,314868,16104564099796340,46
181063936,RLSSDstar,20210112140246_602,125699,16104565269485760,36
20151121,RLSSDstar,20210112140251_812,30512,16104565666039160,24
20151121,RLSSDstar,20210112140337_153,37154,16104566131880620,24
181063936,RLSSDstar,20210112140409_846,114638,16104566311813950,36
20151121,RLSSDstar,20210112140414_37,37106,16104566518983540,24
20151121,RLSSDstar,20210112140424_956,43957,16104566622426960,24
20151121,RLSSDstar,20210112140442_059,36312,16104566804855400,24
20151121,RLSSDstar,20210112140453_474,44360,16104566913216040,24
20151121,RLSSDstar,20210112140455_519,33227,16104566939081100,24
20151121,RLSSDstar,20210112140503_591,45109,16104567016588010,24
181063936,RLSSDstar,20210112140513_494,143757,16104567035919240,36
181063936,RLSSDstar,20210112140521_599,120706,16104567134962090,36
57289761,RLSSDstar,20210112143643_146,63919,16104585903732800,24
384160000,RLSSDstar,20210112143728_892,193380,16104585903736860,36
384160000,RLSSDstar,20210112143737_778,220374,16104585952433680,36
57289761,RLSSDstar,20210112143750_618,78180,16104586577792480,24
384160000,RLSSDstar,20210112143755_318,188418,16104586267792910,36
57289761,RLSSDstar,20210112143800_635,77405,16104586737400752,24
57289761,RLSSDstar,20210112143805_931,66510,16104586806359730,24
384160000,RLSSDstar,20210112143813_488,239939,16104586620076270,36
21381376,RLSSDstar,20210112144346_684,37860,16104590204852020,24
21381376,RLSSDstar,20210112144503_647,42484,16104590961510630,24
1146228736,RLSSDstar,20210112144525_103,290650,16104589983977070,48
1146228736,RLSSDstar,20210112144604_097,375021,16104590006837330,48
1146228736,RLSSDstar,20210112144712_908,312145,16104591059974800,48
285610000,RLSSDstar,20210112144750_09,180884,16104592329092510,36
1146228736,RLSSDstar,20210112144805_383,356208,16104591640988080,48
21381376,RLSSDstar,20210112144809_991,38816,16104592853849030,24
285610000,RLSSDstar,20210112144847_663,192078,16104592899920420,36
285610000,RLSSDstar,20210112144848_821,168939,16104592962148450,36
285610000,RLSSDstar,20210112144954_162,181999,16104593730193300,36
21381376,RLSSDstar,20210112145024_561,45396,16104594226810030,24
260144641,RLSSDstar,20210112145548_265,179107,16104596970189030,36
260144641,RLSSDstar,20210112145556_295,170284,16104597069439760,36
25411681,RLSSDstar,20210112145726_114,48663,16104598363060970,24
1121513121,RLSSDstar,20210112145758_332,405537,16104597043107260,48
260144641,RLSSDstar,20210112145832_915,174019,16104598482626470,36
260144641,RLSSDstar,20210112145857_098,174284,16104598689401280,36
260144641,RLSSDstar,20210112150004_196,136785,16104599669687860,36
1121513121,RLSSDstar,20210112150038_961,353697,16104598783326672,48
1121513121,RLSSDstar,20210112150050_386,448560,16104598498373010,48
260144641,RLSSDstar,20210112150204_603,181790,16104600711133420,36
25411681,RLSSDstar,20210112150222_525,50943,16104601344063220,24
1121513121,RLSSDstar,20210112150236_772,368303,16104600041976500,48
25411681,RLSSDstar,20210112150352_969,55867,16104602234771932,24
260144641,RLSSDstar,20210112150404_542,211135,16104601827318348,36
25411681,RLSSDstar,20210112150410_685,66572,16104602391862370,24
25411681,RLSSDstar,20210112150413_497,40259,16104602467467080,24
1121513121,RLSSDstar,20210112150504_241,363982,16104601567735168,48
260144641,RLSSDstar,20210112150546_625,151951,16104603042425320,36
25411681,RLSSDstar,20210112150554_557,42963,16104603466272048,24
260144641,RLSSDstar,20210112150626_866,214125,16104603259684032,36
260144641,RLSSDstar,20210112150646_032,172601,16104603588548670,36
1121513121,RLSSDstar,20210112150658_252,421837,16104602534981210,48
260144641,RLSSDstar,20210112150713_951,172597,16104603868680260,36
25411681,RLSSDstar,20210112150720_581,43037,16104604339528380,24
25411681,RLSSDstar,20210112150727_65,44491,16104604405817690,24
25411681,RLSSDstar,20210112150756_903,55064,16104604677038692,24
260144641,RLSSDstar,20210112150850_242,189503,16104604769037120,36
1121513121,RLSSDstar,20210112150922_365,395472,16104604068286300,48
260144641,RLSSDstar,20210112150947_747,205099,16104605302435650,36
1121513121,RLSSDstar,20210112151105_944,413585,16104604996253860,48
25411681,RLSSDstar,20210112151109_274,73686,16104606561448490,24
1121513121,RLSSDstar,20210112151114_139,404795,16104605085418270,48
260144641,RLSSDstar,20210112151206_023,196298,16104606692746250,36
1121513121,RLSSDstar,20210112151217_587,402045,16104605738032480,48
25411681,RLSSDstar,20210112151410_251,58564,16104608391894810,24
1121513121,RLSSDstar,20210112151443_504,398749,16104607260247130,48
25411681,RLSSDstar,20210112151616_472,43972,16104609695347490,24
1121513121,RLSSDstar,20210112151628_196,433332,16104608179837410,48
25411681,RLSSDstar,20210112151714_261,43034,16104610270301080,24
25411681,RLSSDstar,20210112151726_46,55240,16104610375455750,24
260144641,RLSSDstar,20210112151736_356,176312,16104610081549330,36
25411681,RLSSDstar,20210112151751_072,41950,16104610644635050,24
25411681,RLSSDstar,20210112151847_748,31297,16104611224651170,24
1121513121,RLSSDstar,20210112151941_008,319298,16104610563566210,48
1121513121,RLSSDstar,20210112152217_939,409131,16104611810101780,48
25411681,RLSSDstar,20210112152245_132,38096,16104613587125390,24
25411681,RLSSDstar,20210112152320_816,45265,16104613942075510,24
25411681,RLSSDstar,20210112152337_641,50105,16104614099078850,24
260144641,RLSSDstar,20210112152408_774,159442,16104614060283100,36
260144641,RLSSDstar,20210112152434_929,178652,16104614266837260,36
260144641,RLSSDstar,20210112152559_693,177198,16104615148593308,36
1121513121,RLSSDstar,20210112152613_135,347403,16104614504245450,48
1121513121,RLSSDstar,20210112152736_937,370677,16104615649192750,48
1121513121,RLSSDstar,20210112152741_917,356091,16104615731355670,48
25411681,RLSSDstar,20210112152744_984,52282,16104616590715270,24
1121513121,RLSSDstar,20210112152747_411,361982,16104615777274950,48
260144641,RLSSDstar,20210112152845_476,179300,16104616915717880,36
1121513121,RLSSDstar,20210112152931_363,457153,16104616676555740,48
1121513121,RLSSDstar,20210112152941_016,375678,16104617076745990,48
260144641,RLSSDstar,20210112152947_065,162491,16104617713649010,36
49787136,RLSSDstar,20210112154417_889,5365,16104626563531720,24
1049760000,RLSSDstar,20210112154529_956,81547,16104626938220912,36
9475854336,RLSSDstar,20210112154647_671,207780,16104626578933510,48
9475854336,RLSSDstar,20210112154925_454,219978,16104628076724250,48
49787136,RLSSDstar,20210112154953_226,16725,16104629900000260,24
49787136,RLSSDstar,20210112155013_6,15791,16104630096301050,24
1049760000,RLSSDstar,20210112155501_282,68270,16104632757878758,36
9475854336,RLSSDstar,20210112155559_54,191579,16104632337998660,48
49787136,RLSSDstar,20210112155603_82,15521,16104633608781280,24
49787136,RLSSDstar,20210112155608_066,11065,16104633659283180,24
9475854336,RLSSDstar,20210112155823_318,156249,16104633708290300,48
49787136,RLSSDstar,20210112155914_187,16523,16104635505674340,24
9475854336,RLSSDstar,20210112160023_479,153598,16104635019743422,48
49787136,RLSSDstar,20210112160025_828,11056,16104636234808100,24
49787136,RLSSDstar,20210112160049_431,12608,16104636466496360,24
1049760000,RLSSDstar,20210112160126_28,91147,16104636494329780,36
1049760000,RLSSDstar,20210112160149_693,50489,16104636862816780,36
49787136,RLSSDstar,20210112160304_035,22455,16104637799095450,24
9475854336,RLSSDstar,20210112160331_07,217221,16104636590446220,48
9475854336,RLSSDstar,20210112160449_102,153925,16104637858513890,48
49787136,RLSSDstar,20210112160500_312,11572,16104638980413960,24
9475854336,RLSSDstar,20210112160516_351,125964,16104638320645310,48
49787136,RLSSDstar,20210112160545_245,13480,16104639427205570,24
1049760000,RLSSDstar,20210112160749_077,43094,16104640520810000,36
1049760000,RLSSDstar,20210112160816_285,49917,16104640768840790,36
9475854336,RLSSDstar,20210112161039_172,157037,16104641354825980,48
9475854336,RLSSDstar,20210112161059_321,99440,16104641930818860,48
49787136,RLSSDstar,20210112161137_267,9374,16104642954961080,24
9475854336,RLSSDstar,20210112161255_471,165719,16104642639510980,48
9475854336,RLSSDstar,20210112161332_485,167417,16104642972705200,48
9475854336,RLSSDstar,20210112161701_51,184867,16104644973872020,48
1049760000,RLSSDstar,20210112161745_424,80189,16104646346715780,36
49787136,RLSSDstar,20210112161749_284,11331,16104646672130680,24
49787136,RLSSDstar,20210112161923_022,20517,16104647583309850,24
1049760000,RLSSDstar,20210112161953_652,62302,16104647666861740,36
9475854336,RLSSDstar,20210112162034_07,135818,16104647417707100,48
49787136,RLSSDstar,20210112162101_372,3997,16104648604045060,24
9475854336,RLSSDstar,20210112162101_747,280601,16104646692846020,48
9475854336,RLSSDstar,20210112162303_957,119058,16104649030148020,48
49787136,RLSSDstar,20210112162308_082,19126,16104649839588562,24
1049760000,RLSSDstar,20210112162544_633,63968,16104651273160980,36
1049760000,RLSSDstar,20210112162608_042,41794,16104651572617600,36
1049760000,RLSSDstar,20210112162630_103,60317,16104651730490120,36
1049760000,RLSSDstar,20210112162735_432,39692,16104652452612680,36
49787136,RLSSDstar,20210112162812_383,14525,16104652904918398,24
1049760000,RLSSDstar,20210112162824_098,47414,16104652923844882,36
1049760000,RLSSDstar,20210112162829_242,37155,16104653001157640,36
49787136,RLSSDstar,20210112162903_32,11559,16104653418617660,24
1049760000,RLSSDstar,20210112162903_772,59258,16104653287383030,36
49787136,RLSSDstar,20210112162905_052,13310,16104653433219650,24
1049760000,RLSSDstar,20210112163021_515,35656,16104654126878810,36
9475854336,RLSSDstar,20210112163045_937,234930,16104653462070910,48
9475854336,RLSSDstar,20210112163523_117,245564,16104656203832870,48
1049760000,RLSSDstar,20210112163752_914,52224,16104658591963850,36
49787136,RLSSDstar,20210112163755_327,20800,16104658729158910,24
9475854336,RLSSDstar,20210112163812_731,252273,16104657864805170,48
1049760000,RLSSDstar,20210112163829_604,39118,16104659001762900,36
1049760000,RLSSDstar,20210112163840_555,39698,16104659109722590,36
1049760000,RLSSDstar,20210112163845_435,18345,16104659205563300,36
9475854336,RLSSDstar,20210112164055_011,264326,16104659939631620,48
157529610000,RLSSDstar,20210112190400_835,2476930,16104690559417200,36
157529610000,RLSSDstar,20210112191114_295,2792430,16104690559783630,36
1303210000,RLSSDstar,20210113080021_267,306717,16105210958372850,20
1303210000,RLSSDstar,20210113080048_42,251269,16105211477252080,20
8100000000,RLSSDstar,20210113080430_467,590876,16105210958424922,25
8100000000,RLSSDstar,20210113080649_313,542195,16105212484724870,25
35806100625,RLSSDstar,20210113081635_746,984923,16105212239260190,30
8100000000,RLSSDstar,20210113082451_093,549261,16105223453804930,25
35806100625,RLSSDstar,20210113083031_927,971808,16105221428500618,30
35806100625,RLSSDstar,20210113083455_441,1222805,16105221957474120,30
8100000000,RLSSDstar,20210113083537_243,491362,16105230319281002,25
35806100625,RLSSDstar,20210113084711_058,1256221,16105228435688650,30
35806100625,RLSSDstar,20210113085605_911,1100708,16105235149373810,30
1303210000,RLSSDstar,20210113090408_319,285584,16105249308815470,20
4100625,RLSSDstar,20210113091350_463,12462,16105256292478230,10
4100625,RLSSDstar,20210113091350_855,11208,16105256297551752,10
4100625,RLSSDstar,20210113091357_097,14082,16105256355136672,10
4100625,RLSSDstar,20210113091358_192,9384,16105256370982530,10
121550625,RLSSDstar,20210113091403_777,75625,16105256262881650,15
1303210000,RLSSDstar,20210113091523_403,187724,16105256434312680,20
1303210000,RLSSDstar,20210113091559_082,253623,16105256516399820,20
121550625,RLSSDstar,20210113091602_571,73442,16105257447486510,15
4100625,RLSSDstar,20210113091642_794,14889,16105258010688390,10
1303210000,RLSSDstar,20210113091650_636,203831,16105257234051620,20
121550625,RLSSDstar,20210113091707_417,70529,16105258109739030,15
121550625,RLSSDstar,20210113091726_048,103437,16105258222507638,15
4100625,RLSSDstar,20210113091736_92,15039,16105258554218960,10
4100625,RLSSDstar,20210113091750_504,15574,16105258689714000,10
121550625,RLSSDstar,20210113091757_321,79034,16105258593016720,15
121550625,RLSSDstar,20210113091934_442,72434,16105259579747478,15
1303210000,RLSSDstar,20210113091948_921,294712,16105258705044760,20
4100625,RLSSDstar,20210113091954_073,18396,16105259922205860,10
1303210000,RLSSDstar,20210113092121_635,235946,16105259992501710,20
1303210000,RLSSDstar,20210113092142_772,305352,16105260023462780,20
1303210000,RLSSDstar,20210113092150_641,230535,16105260436700480,20
121550625,RLSSDstar,20210113092201_19,62894,16105261106427720,15
121550625,RLSSDstar,20210113092217_969,87538,16105261237757140,15
4100625,RLSSDstar,20210113092419_496,11411,16105262590302340,10
1303210000,RLSSDstar,20210113092426_554,288463,16105262224827080,20
4100625,RLSSDstar,20210113092427_279,17907,16105262665548970,10
1303210000,RLSSDstar,20210113092451_373,212649,16105262594972830,20
1303210000,RLSSDstar,20210113092506_679,260136,16105262677421500,20
121550625,RLSSDstar,20210113092513_0,67412,16105263069493042,15
121550625,RLSSDstar,20210113092517_74,78105,16105263130008480,15
100000000,RLSSDstar,20210114094439_107,573,16106138783058780,100
100000000,RLSSDstar,20210114094439_934,479,16106138799325680,100
100000000,RLSSDstar,20210114094440_084,412,16106138800835782,100
100000000,RLSSDstar,20210114094440_085,484,16106138800835120,100
100000000,RLSSDstar,20210114094440_088,558,16106138800866712,100
100000000,RLSSDstar,20210114094440_091,549,16106138800900080,100
100000000,RLSSDstar,20210114094440_092,533,16106138800909640,100
100000000,RLSSDstar,20210114094440_092,445,16106138800915192,100
100000000,RLSSDstar,20210114094440_093,545,16106138800917390,100
100000000,RLSSDstar,20210114094440_096,414,16106138800950810,100
100000000,RLSSDstar,20210114094440_096,484,16106138800953390,100
100000000,RLSSDstar,20210114094440_096,532,16106138800956700,100
100000000,RLSSDstar,20210114094440_102,459,16106138801009380,100
100000000,RLSSDstar,20210114094440_102,444,16106138801011428,100
100000000,RLSSDstar,20210114094440_102,887,16106138801002810,100
100000000,RLSSDstar,20210114094440_103,318,16106138801023210,100
100000000,RLSSDstar,20210114094440_105,550,16106138801039100,100
100000000,RLSSDstar,20210114094440_106,316,16106138801053470,100
100000000,RLSSDstar,20210114094440_107,403,16106138801062250,100
100000000,RLSSDstar,20210114094440_108,408,16106138801074770,100
100000000,RLSSDstar,20210114094440_108,501,16106138801076282,100
100000000,RLSSDstar,20210114094440_109,326,16106138801088390,100
100000000,RLSSDstar,20210114094440_109,427,16106138801088360,100
100000000,RLSSDstar,20210114094440_13,377,16106138801291922,100
100000000,RLSSDstar,20210114094440_131,378,16106138801300048,100
100000000,RLSSDstar,20210114094440_131,500,16106138801301170,100
100000000,RLSSDstar,20210114094440_132,670,16106138801305000,100
100000000,RLSSDstar,20210114094440_135,693,16106138801335900,100
100000000,RLSSDstar,20210114094440_135,397,16106138801346000,100
100000000,RLSSDstar,20210114094440_136,377,16106138801358680,100
100000000,RLSSDstar,20210114094440_138,464,16106138801370190,100
100000000,RLSSDstar,20210114094440_138,433,16106138801375188,100
100000000,RLSSDstar,20210114094440_139,482,16106138801383122,100
100000000,RLSSDstar,20210114094440_141,446,16106138801402240,100
100000000,RLSSDstar,20210114094440_141,508,16106138801403890,100
100000000,RLSSDstar,20210114094440_144,466,16106138801428480,100
100000000,RLSSDstar,20210114094440_145,332,16106138801442630,100
100000000,RLSSDstar,20210114094440_145,475,16106138801441200,100
100000000,RLSSDstar,20210114094440_145,523,16106138801442550,100
100000000,RLSSDstar,20210114094440_149,384,16106138801483260,100
100000000,RLSSDstar,20210114094440_149,483,16106138801484070,100
100000000,RLSSDstar,20210114094440_152,572,16106138801513628,100
100000000,RLSSDstar,20210114094440_153,445,16106138801519990,100
100000000,RLSSDstar,20210114094440_153,589,16106138801517870,100
100000000,RLSSDstar,20210114094440_167,593,16106138801659600,100
100000000,RLSSDstar,20210114094440_168,439,16106138801669828,100
100000000,RLSSDstar,20210114094440_168,443,16106138801671770,100
100000000,RLSSDstar,20210114094440_174,594,16106138801731410,100
100000000,RLSSDstar,20210114094440_175,360,16106138801746870,100
100000000,RLSSDstar,20210114094440_175,263,16106138801750938,100
100000000,RLSSDstar,20210114094440_176,253,16106138801760130,100
100000000,RLSSDstar,20210114094440_177,309,16106138801767210,100
100000000,RLSSDstar,20210114094440_178,514,16106138801773560,100
100000000,RLSSDstar,20210114094440_178,387,16106138801778368,100
100000000,RLSSDstar,20210114094440_181,459,16106138801809152,100
100000000,RLSSDstar,20210114094440_182,319,16106138801815960,100
100000000,RLSSDstar,20210114094440_183,379,16106138801825882,100
100000000,RLSSDstar,20210114094440_183,672,16106138801821220,100
100000000,RLSSDstar,20210114094440_183,474,16106138801825800,100
100000000,RLSSDstar,20210114094440_185,409,16106138801840480,100
100000000,RLSSDstar,20210114094440_185,318,16106138801838560,100
100000000,RLSSDstar,20210114094440_185,449,16106138801837590,100
100000000,RLSSDstar,20210114094440_186,399,16106138801854000,100
100000000,RLSSDstar,20210114094440_2,340,16106138801997970,100
100000000,RLSSDstar,20210114094440_2,494,16106138801996260,100
100000000,RLSSDstar,20210114094440_204,515,16106138802033260,100
100000000,RLSSDstar,20210114094440_205,475,16106138802040610,100
100000000,RLSSDstar,20210114094440_207,415,16106138802062408,100
100000000,RLSSDstar,20210114094440_208,370,16106138802077470,100
